Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-12,10:00,,84,20,,,,
2016-10-12,11:00,,80,22,,,,
2016-10-12,12:00,,67,23,,,,
2016-10-12,13:00,,65,22,,,,
2016-10-12,14:00,,74,23,,,,
2016-10-12,15:00,,112,30,,,,
2016-10-12,16:00,,76,25,,,,
2016-10-12,17:00,,66,26,,,,
2016-10-12,18:00,,46,26,,,,
2016-10-12,19:00,,38,25,,,,
2016-10-12,20:00,,27,20,,,,
2016-10-12,21:00,,16,17,,,,
2016-10-12,22:00,,16,18,,,,
2016-10-12,23:00,,12,16,,,,
2016-10-13,,,,,18,,
2016-10-13,00:00,,5,14,,,,
2016-10-13,01:00,,5,12,,,,
2016-10-13,02:00,,9,12,,,,
2016-10-13,03:00,,10,13,,,,
2016-10-13,04:00,,21,14,,,,
2016-10-13,05:00,,41,18,,,,
2016-10-13,06:00,,109,26,,,,
2016-10-13,07:00,,129,32,,,,
2016-10-13,08:00,,129,31,,,,
2016-10-13,09:00,,118,31,,,,
2016-10-13,10:00,,80,29,,,,
2016-10-13,11:00,,94,32,,,,
2016-10-13,12:00,,56,23,,,,
2016-10-13,13:00,,51,24,,,,
2016-10-13,14:00,,43,25,,,,
2016-10-13,15:00,,66,31,,,,
2016-10-13,16:00,,94,39,,,,
2016-10-13,17:00,,83,39,,,,
2016-10-13,18:00,,49,34,,,,
2016-10-13,19:00,,30,30,,,,
2016-10-13,20:00,,19,25,,,,
2016-10-13,21:00,,9,17,,,,
2016-10-13,22:00,,8,15,,,,
2016-10-13,23:00,,4,11,,,,
2016-10-14,,,,,27,,
2016-10-14,00:00,,4,10,,,,
2016-10-14,01:00,,2,10,,,,
2016-10-14,02:00,,2,10,,,,
2016-10-14,03:00,,7,13,,,,
2016-10-14,04:00,,16,15,,,,
2016-10-14,05:00,,21,21,,,,
2016-10-14,06:00,,35,28,,,,
2016-10-14,07:00,,83,41,,,,
2016-10-14,08:00,,130,44,,,,
2016-10-14,09:00,,147,43,,,,
2016-10-14,10:00,,45,25,,,,
2016-10-14,11:00,,32,19,,,,
2016-10-14,12:00,,26,20,,,,
2016-10-14,13:00,,32,23,,,,
2016-10-14,14:00,,29,24,,,,
2016-10-14,15:00,,35,28,,,,
2016-10-14,16:00,,29,27,,,,
2016-10-14,17:00,,44,33,,,,
2016-10-14,18:00,,27,27,,,,
2016-10-14,19:00,,29,31,,,,
2016-10-14,20:00,,16,21,,,,
2016-10-14,21:00,,7,16,,,,
2016-10-14,22:00,,28,27,,,,
2016-10-14,23:00,,4,12,,,,
2016-10-15,,,,,22,,
2016-10-15,00:00,,2,10,,,,
2016-10-15,01:00,,3,11,,,,
2016-10-15,02:00,,1,10,,,,
2016-10-15,03:00,,3,13,,,,
2016-10-15,04:00,,1,12,,,,
2016-10-15,05:00,,9,17,,,,
2016-10-15,06:00,,5,11,,,,
2016-10-15,07:00,,6,10,,,,
2016-10-15,08:00,,14,15,,,,
2016-10-15,09:00,,22,19,,,,
2016-10-15,10:00,,25,20,,,,
2016-10-15,11:00,,32,22,,,,
2016-10-15,12:00,,26,19,,,,
2016-10-15,13:00,,17,20,,,,
2016-10-15,14:00,,16,21,,,,
2016-10-15,15:00,,14,15,,,,
2016-10-15,16:00,,9,18,,,,
2016-10-15,17:00,,20,28,,,,
2016-10-15,18:00,,35,35,,,,
2016-10-15,19:00,,46,33,,,,
2016-10-15,20:00,,24,26,,,,
2016-10-15,21:00,,24,16,,,,
2016-10-15,22:00,,23,14,,,,
2016-10-15,23:00,,24,16,,,,
2016-10-16,,,,,14,,
2016-10-16,00:00,,19,16,,,,
2016-10-16,01:00,,10,15,,,,
2016-10-16,02:00,,9,11,,,,
2016-10-16,03:00,,10,10,,,,
2016-10-16,04:00,,4,7,,,,
2016-10-16,05:00,,8,7,,,,
2016-10-16,06:00,,7,9,,,,
2016-10-16,07:00,,11,10,,,,
2016-10-16,08:00,,15,10,,,,
2016-10-16,09:00,,14,8,,,,
2016-10-16,10:00,,30,15,,,,
2016-10-16,11:00,,10,9,,,,
2016-10-16,12:00,,22,21,,,,
2016-10-16,13:00,,14,20,,,,
2016-10-16,14:00,,10,18,,,,
2016-10-16,15:00,,11,22,,,,
2016-10-16,16:00,,12,27,,,,
2016-10-16,17:00,,58,56,,,,
2016-10-16,18:00,,65,38,,,,
2016-10-16,19:00,,34,26,,,,
2016-10-16,20:00,,40,20,,,,
2016-10-16,21:00,,15,13,,,,
2016-10-16,22:00,,40,13,,,,
2016-10-16,23:00,,31,12,,,,
2016-10-17,,,,,29,,
2016-10-17,00:00,,14,13,,,,
2016-10-17,01:00,,18,9,,,,
2016-10-17,02:00,,39,9,,,,
2016-10-17,03:00,,54,10,,,,
2016-10-17,04:00,,129,21,,,,
2016-10-17,05:00,,138,21,,,,
2016-10-17,06:00,,244,34,,,,
2016-10-17,07:00,,232,38,,,,
2016-10-17,08:00,,132,30,,,,
2016-10-17,09:00,,48,25,,,,
2016-10-17,10:00,,62,33,,,,
2016-10-17,11:00,,24,27,,,,
2016-10-17,12:00,,26,27,,,,
2016-10-17,13:00,,19,22,,,,
2016-10-17,14:00,,31,34,,,,
2016-10-17,15:00,,23,33,,,,
2016-10-17,16:00,,31,38,,,,
2016-10-17,17:00,,51,47,,,,
2016-10-17,18:00,,106,61,,,,
2016-10-17,19:00,,37,36,,,,
2016-10-17,20:00,,9,22,,,,
2016-10-17,21:00,,4,16,,,,
2016-10-17,22:00,,3,13,,,,
2016-10-17,23:00,,3,12,,,,
2016-10-18,,,,,34,,
2016-10-18,00:00,,2,11,,,,
2016-10-18,01:00,,2,11,,,,
2016-10-18,02:00,,2,10,,,,
2016-10-18,03:00,,5,11,,,,
2016-10-18,04:00,,16,14,,,,
2016-10-18,05:00,,33,19,,,,
2016-10-18,06:00,,75,26,,,,
2016-10-18,07:00,,93,29,,,,
2016-10-18,08:00,,79,24,,,,
2016-10-18,09:00,,72,21,,,,
2016-10-18,10:00,,103,24,,,,
2016-10-18,11:00,,110,27,,,,
2016-10-18,12:00,,85,34,,,,
2016-10-18,13:00,,57,32,,,,
2016-10-18,14:00,,66,38,,,,
2016-10-18,15:00,,43,32,,,,
