Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-16,17:00,,438,170,2,,,
2017-02-16,18:00,,346,163,1,,,
2017-02-16,19:00,,116,116,3,,,
2017-02-16,20:00,,124,119,3,,,
2017-02-16,21:00,,27,81,8,,,
2017-02-16,22:00,,34,74,14,,,
2017-02-16,23:00,,14,67,16,,,
2017-02-17,00:00,,25,70,10,,,
2017-02-17,01:00,,30,50,19,,,
2017-02-17,02:00,,4,21,38,,,
2017-02-17,03:00,,7,24,34,,,
2017-02-17,04:00,,5,20,47,,,
2017-02-17,05:00,,8,21,49,,,
2017-02-17,06:00,,48,52,23,,,
2017-02-17,07:00,,89,59,15,,,
2017-02-17,08:00,,78,52,22,,,
2017-02-17,09:00,,78,61,28,,,
2017-02-17,10:00,,63,45,37,,,
2017-02-17,11:00,,47,36,50,,,
2017-02-17,12:00,,50,41,45,,,
2017-02-17,13:00,,55,40,51,,,
2017-02-17,14:00,,52,40,53,,,
2017-02-17,15:00,,61,47,45,,,
2017-02-17,16:00,,76,54,38,,,
2017-02-17,17:00,,65,53,33,,,
2017-02-17,18:00,,74,52,30,,,
2017-02-17,19:00,,54,45,30,,,
2017-02-17,20:00,,36,40,25,,,
2017-02-17,21:00,,23,32,24,,,
2017-02-17,22:00,,23,32,26,,,
2017-02-17,23:00,,14,26,28,,,
2017-02-18,00:00,,6,23,31,,,
2017-02-18,01:00,,4,18,37,,,
2017-02-18,02:00,,3,17,36,,,
2017-02-18,03:00,,2,14,38,,,
2017-02-18,04:00,,2,13,44,,,
2017-02-18,05:00,,4,15,42,,,
2017-02-18,06:00,,4,17,40,,,
2017-02-18,07:00,,10,18,41,,,
2017-02-18,08:00,,16,27,35,,,
2017-02-18,09:00,,26,31,36,,,
2017-02-18,10:00,,26,31,38,,,
2017-02-18,11:00,,28,32,42,,,
2017-02-18,12:00,,21,30,45,,,
2017-02-18,13:00,,21,26,52,,,
2017-02-18,14:00,,18,25,54,,,
2017-02-18,15:00,,16,25,50,,,
2017-02-18,16:00,,21,28,48,,,
2017-02-18,17:00,,34,35,43,,,
2017-02-18,18:00,,24,35,44,,,
2017-02-18,19:00,,48,47,34,,,
2017-02-18,20:00,,53,59,25,,,
2017-02-18,21:00,,60,54,22,,,
2017-02-18,22:00,,39,46,23,,,
2017-02-18,23:00,,40,48,23,,,
2017-02-19,00:00,,34,44,21,,,
2017-02-19,01:00,,21,36,33,,,
2017-02-19,02:00,,13,31,31,,,
2017-02-19,03:00,,17,27,34,,,
2017-02-19,04:00,,8,21,44,,,
2017-02-19,05:00,,9,17,46,,,
2017-02-19,06:00,,5,14,51,,,
2017-02-19,07:00,,10,16,49,,,
2017-02-19,08:00,,16,26,42,,,
2017-02-19,09:00,,28,32,41,,,
2017-02-19,10:00,,45,38,45,,,
2017-02-19,11:00,,37,32,52,,,
2017-02-19,12:00,,29,30,58,,,
2017-02-19,13:00,,27,26,61,,,
2017-02-19,14:00,,21,28,58,,,
2017-02-19,15:00,,27,26,55,,,
2017-02-19,16:00,,35,35,45,,,
2017-02-19,17:00,,69,52,36,,,
2017-02-19,18:00,,72,62,31,,,
2017-02-19,19:00,,85,67,19,,,
2017-02-19,20:00,,35,39,42,,,
2017-02-19,21:00,,22,29,44,,,
2017-02-19,22:00,,19,23,47,,,
2017-02-19,23:00,,11,19,50,,,
2017-02-20,00:00,,5,15,49,,,
2017-02-20,01:00,,4,14,45,,,
2017-02-20,02:00,,3,15,41,,,
2017-02-20,03:00,,4,15,39,,,
2017-02-20,04:00,,2,15,38,,,
2017-02-20,05:00,,15,20,34,,,
2017-02-20,06:00,,20,26,33,,,
2017-02-20,07:00,,58,42,29,,,
2017-02-20,08:00,,70,47,32,,,
2017-02-20,09:00,,67,42,36,,,
2017-02-20,10:00,,65,41,36,,,
2017-02-20,11:00,,57,45,42,,,
2017-02-20,12:00,,64,37,48,,,
2017-02-20,13:00,,34,27,57,,,
2017-02-20,14:00,,39,31,56,,,
2017-02-20,15:00,,59,44,48,,,
2017-02-20,16:00,,61,42,48,,,
2017-02-20,17:00,,75,50,43,,,
2017-02-20,18:00,,56,41,45,,,
2017-02-20,19:00,,41,36,47,,,
2017-02-20,20:00,,31,29,49,,,
2017-02-20,21:00,,22,23,50,,,
2017-02-20,22:00,,10,16,52,,,
2017-02-20,23:00,,10,15,51,,,
2017-02-21,00:00,,6,12,49,,,
2017-02-21,01:00,,2,9,47,,,
2017-02-21,02:00,,3,10,44,,,
2017-02-21,03:00,,2,9,43,,,
2017-02-21,04:00,,2,9,40,,,
2017-02-21,05:00,,3,10,37,,,
2017-02-21,06:00,,18,15,32,,,
2017-02-21,07:00,,40,26,26,,,
2017-02-21,08:00,,56,32,27,,,
2017-02-21,09:00,,62,39,22,,,
2017-02-21,10:00,,36,28,31,,,
2017-02-21,11:00,,25,24,40,,,
2017-02-21,12:00,,28,24,56,,,
2017-02-21,13:00,,18,23,64,,,
2017-02-21,14:00,,18,22,66,,,
2017-02-21,15:00,,16,24,67,,,
2017-02-21,16:00,,27,35,55,,,
2017-02-21,17:00,,39,43,43,,,
2017-02-21,18:00,,36,42,45,,,
2017-02-21,19:00,,26,39,49,,,
2017-02-21,20:00,,33,38,47,,,
2017-02-21,21:00,,39,40,48,,,
2017-02-21,22:00,,30,35,48,,,
2017-02-21,23:00,,21,30,51,,,
2017-02-22,00:00,,13,23,51,,,
2017-02-22,01:00,,7,18,57,,,
2017-02-22,02:00,,8,17,56,,,
2017-02-22,03:00,,3,14,48,,,
2017-02-22,04:00,,1,10,53,,,
2017-02-22,05:00,,8,14,47,,,
2017-02-22,06:00,,15,15,40,,,
2017-02-22,07:00,,45,26,32,,,
2017-02-22,08:00,,59,33,29,,,
2017-02-22,09:00,,65,32,30,,,
2017-02-22,10:00,,52,28,33,,,
2017-02-22,11:00,,35,24,40,,,
2017-02-22,12:00,,39,24,43,,,
2017-02-22,13:00,,44,28,44,,,
2017-02-22,14:00,,46,28,48,,,
2017-02-22,15:00,,50,32,50,,,
2017-02-22,16:00,,50,33,45,,,
2017-02-22,17:00,,59,38,43,,,
2017-02-22,18:00,,47,34,47,,,
2017-02-22,19:00,,37,29,46,,,
2017-02-22,20:00,,25,23,49,,,
2017-02-22,21:00,,12,16,59,,,
2017-02-22,22:00,,3,11,92,,,
2017-02-22,23:00,,5,11,97,,,
2017-02-23,00:00,,7,15,85,,,
2017-02-23,01:00,,4,8,85,,,
2017-02-23,02:00,,6,9,82,,,
2017-02-23,03:00,,4,8,85,,,
2017-02-23,04:00,,2,5,89,,,
2017-02-23,05:00,,5,9,88,,,
2017-02-23,06:00,,13,16,80,,,
2017-02-23,07:00,,51,47,58,,,
2017-02-23,08:00,,127,82,29,,,
2017-02-23,09:00,,161,103,15,,,
2017-02-23,10:00,,105,83,14,,,
2017-02-23,11:00,,108,73,17,,,
2017-02-23,12:00,,70,41,36,,,
2017-02-23,13:00,,59,33,43,,,
2017-02-23,14:00,,60,35,44,,,
2017-02-23,15:00,,92,49,34,,,
2017-02-23,16:00,,179,84,19,,,
2017-02-23,17:00,,240,119,10,,,
2017-02-23,18:00,,184,93,8,,,
2017-02-23,19:00,,59,44,39,,,
2017-02-23,20:00,,29,26,51,,,
2017-02-23,21:00,,22,21,56,,,
2017-02-23,22:00,,18,16,65,,,
2017-02-23,23:00,,19,21,58,,,
2017-02-24,00:00,,8,12,66,,,
2017-02-24,01:00,,6,8,79,,,
2017-02-24,02:00,,3,6,80,,,
2017-02-24,03:00,,1,6,82,,,
2017-02-24,04:00,,1,5,80,,,
2017-02-24,05:00,,3,6,79,,,
2017-02-24,06:00,,11,9,74,,,
2017-02-24,07:00,,19,18,68,,,
2017-02-24,08:00,,24,22,70,,,
2017-02-24,09:00,,25,23,73,,,
2017-02-24,10:00,,29,23,75,,,
2017-02-24,11:00,,19,22,74,,,
2017-02-24,12:00,,17,21,73,,,
2017-02-24,13:00,,34,29,66,,,
2017-02-24,14:00,,36,32,63,,,
2017-02-24,15:00,,24,29,61,,,
2017-02-24,16:00,,19,24,65,,,
2017-02-24,17:00,,26,28,62,,,
2017-02-24,18:00,,23,29,58,,,
2017-02-24,19:00,,24,33,52,,,
2017-02-24,20:00,,42,47,41,,,
2017-02-24,21:00,,42,46,43,,,
2017-02-24,22:00,,38,46,39,,,
2017-02-24,23:00,,20,32,47,,,
2017-02-25,00:00,,11,25,51,,,
2017-02-25,01:00,,10,19,55,,,
2017-02-25,02:00,,3,12,65,,,
2017-02-25,03:00,,3,10,68,,,
2017-02-25,04:00,,2,11,66,,,
2017-02-25,05:00,,4,12,64,,,
2017-02-25,06:00,,8,14,61,,,
2017-02-25,07:00,,20,21,56,,,
2017-02-25,08:00,,20,23,56,,,
2017-02-25,09:00,,25,27,53,,,
2017-02-25,10:00,,28,28,57,,,
2017-02-25,11:00,,26,24,63,,,
2017-02-25,12:00,,31,27,64,,,
2017-02-25,13:00,,36,27,71,,,
2017-02-25,14:00,,39,35,66,,,
2017-02-25,15:00,,51,51,61,,,
2017-02-25,16:00,,37,41,66,,,
2017-02-25,17:00,,75,59,53,,,
2017-02-25,18:00,,127,92,25,,,
2017-02-25,19:00,,210,128,3,,,
2017-02-25,20:00,,74,78,23,,,
2017-02-25,21:00,,45,50,41,,,
2017-02-25,22:00,,35,47,45,,,
2017-02-25,23:00,,35,45,48,,,
2017-02-26,00:00,,13,20,68,,,
2017-02-26,01:00,,7,15,75,,,
2017-02-26,02:00,,4,11,81,,,
2017-02-26,03:00,,4,12,77,,,
2017-02-26,04:00,,3,12,69,,,
2017-02-26,05:00,,5,16,62,,,
2017-02-26,06:00,,5,18,51,,,
2017-02-26,07:00,,10,21,58,,,
2017-02-26,08:00,,20,34,47,,,
2017-02-26,09:00,,16,22,65,,,
2017-02-26,10:00,,17,19,71,,,
2017-02-26,11:00,,31,28,68,,,
2017-02-26,12:00,,45,33,64,,,
2017-02-26,13:00,,30,30,73,,,
2017-02-26,14:00,,33,33,70,,,
2017-02-26,15:00,,34,33,72,,,
2017-02-26,16:00,,35,48,60,,,
2017-02-26,17:00,,30,40,62,,,
2017-02-26,18:00,,41,52,56,,,
2017-02-26,19:00,,36,43,56,,,
2017-02-26,20:00,,30,35,62,,,
2017-02-26,21:00,,19,32,64,,,
2017-02-26,22:00,,12,21,73,,,
2017-02-26,23:00,,10,16,74,,,
2017-02-27,00:00,,5,12,74,,,
2017-02-27,01:00,,6,10,77,,,
2017-02-27,02:00,,2,8,78,,,
2017-02-27,03:00,,4,9,76,,,
2017-02-27,04:00,,6,12,72,,,
2017-02-27,05:00,,9,21,60,,,
2017-02-27,06:00,,46,50,33,,,
2017-02-27,07:00,,128,87,22,,,
