Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-15,09:00,,0.1,1,13,56,,,3.4
2000-03-15,10:00,,0.1,2,9,59,,,1.5
2000-03-15,11:00,,0.1,1,6,69,,,1.0
2000-03-15,12:00,,0.1,1,6,73,,,1.0
2000-03-15,13:00,,0.1,1,6,75,,,1.0
2000-03-15,14:00,,0.1,1,6,77,,,1.0
2000-03-15,15:00,,0.1,1,6,79,,,1.2
2000-03-15,16:00,,0.1,1,6,79,,,1.0
2000-03-15,17:00,,0.1,1,6,78,,,1.0
2000-03-15,18:00,,0.1,1,8,76,,,1.0
2000-03-15,19:00,,0.1,1,8,74,,,1.3
2000-03-15,20:00,,0.1,1,9,73,,,1.2
2000-03-15,21:00,,0.1,1,7,77,,,1.0
2000-03-15,22:00,,0.1,1,8,72,,,1.3
2000-03-15,23:00,,0.1,1,11,65,,,2.8
2000-03-16,,,,,,,4,,
2000-03-16,00:00,,0.1,1,11,63,,,2.1
2000-03-16,01:00,,0.1,1,11,61,,,1.0
2000-03-16,02:00,,0.1,1,12,54,,,1.5
2000-03-16,03:00,,0.1,1,12,54,,,1.6
2000-03-16,04:00,,0.1,,,,,,1.5
2000-03-16,05:00,,0.1,1,6,78,,,1.2
2000-03-16,06:00,,0.1,1,4,76,,,1.0
2000-03-16,07:00,,0.1,1,7,58,,,
2000-03-16,08:00,,0.1,1,10,51,,,1.1
2000-03-16,09:00,,0.1,2,13,49,,,1.0
2000-03-16,10:00,,0.1,1,11,60,,,1.1
2000-03-16,11:00,,0.1,1,7,66,,,1.0
2000-03-16,12:00,,0.1,1,6,71,,,1.0
2000-03-16,13:00,,0.1,1,6,72,,,1.0
2000-03-16,14:00,,0.1,1,6,74,,,1.0
2000-03-16,15:00,,0.1,1,6,75,,,1.0
2000-03-16,16:00,,0.1,1,5,80,,,1.0
2000-03-16,17:00,,0.1,1,7,77,,,1.0
2000-03-16,18:00,,0.1,1,7,75,,,1.0
2000-03-16,19:00,,0.1,1,7,75,,,1.0
2000-03-16,20:00,,,1,8,74,,,1.3
2000-03-16,21:00,,0.1,1,7,73,,,1.0
2000-03-16,22:00,,0.1,1,7,71,,,1.0
2000-03-16,23:00,,0.1,1,5,75,,,1.0
2000-03-17,,,,,,,3,,
2000-03-17,00:00,,0.1,1,5,74,,,1.0
2000-03-17,01:00,,0.1,1,5,73,,,1.0
2000-03-17,02:00,,0.1,1,8,71,,,1.6
2000-03-17,03:00,,0.1,1,8,,,,2.0
2000-03-17,04:00,,0.1,,,68,,,5.4
2000-03-17,05:00,,0.1,1,10,64,,,4.3
2000-03-17,06:00,,0.1,1,9,59,,,1.4
